Aircraft,Type of Traveler,Seat,Route,Date,Ratings,Recommended,Review
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,February 2018,[],,"""at least a decade out of date""
"
Boeing 747,Couple Leisure,Premium Economy,London Heathrow to Miami,February 2018,[],,"""meals were served very slowly""
"
A320,Solo Leisure,Business Class,Dusseldorf to London,February 2018,[],"<td class=""review-value rating-yes"">yes</td>","""Very satisfied with BA"""
Boeing 777,Solo Leisure,Premium Economy,London to Bengaluru,February 2018,[],,"""A very unpleasant experience"""
A320,Solo Leisure,Business Class,London Heathrow to Belfast,January 2018,[],"<td class=""review-value rating-yes"">yes</td>","""good flight and service"""
A380,Business,Business Class,Singapore to Madrid via London Heathrow,January 2018,[],,"""Service was inattentive at best"""
Boeing 777,Solo Leisure,Business Class,Gatwick to Tobago,January 2018,[],,"""if we want anything, get it yourself"""
A319,Business,Business Class,London Gatwick to Turin,January 2018,[],,"""British Airways is cutting corners"""
A320,Solo Leisure,Business Class,London Gatwick to Rome Fiumicino,December 2017,[],"<td class=""review-value rating-yes"">yes</td>","""British Airways is always a good choice"""
Boeing 777,Business,Business Class,Dubai to London,December 2017,[],,"""an awful experience"""
Boeing 777,Business,Business Class,London to Dubai,January 2018,[],,"""a terrible flight"""
A380,Solo Leisure,Premium Economy,London to Hong Kong,December 2017,[],"<td class=""review-value rating-yes"">yes</td>","""The attendants were polite"""
Boeing 777,Solo Leisure,Premium Economy,London to Seattle,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""little to complain about"""
Boeing 777,Solo Leisure,Premium Economy,Seattle to London,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""policy of charging to book a seat"""
A320,Business,Business Class,London Heathrow to Belfast,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""fast and efficient service"""
Boeing 747-400,Couple Leisure,Business Class,London Heathrow to New York JFK,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""new improvements are excellent"""
Boeing 777,Couple Leisure,Business Class,London Heathrow to Doha,October 2017,[],,"""a no frills business class"""
Boeing 747-400,Business,Business Class,Prague to Washington via London,November 2017,[],,"""the worst airline I have flown"""
A380,Couple Leisure,Business Class,London Heathrow to Johannesburg,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""In-flight service good"""
Boeing 747,Family Leisure,Business Class,London to Philadelphia,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""crew amazingly helpful"""
Boeing 747-400,Business,Business Class,London to New York JFK,November 2017,[],,"""Complete rip-off sums it up"""
A319,Couple Leisure,Business Class,Pisa to London,October 2017,[],,"""Time to find a new CEO I think"""
A320,Solo Leisure,Business Class,Faro to Gatwick,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""a good deal on the flight"""
A319,Family Leisure,Business Class,Malaga to Gatwick,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""very pleasant crew """
A319,Family Leisure,Business Class,Gatwick to Malaga,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""food was well presented"""
Boeing 747-400,Couple Leisure,Business Class,Gatwick to Orlando,September 2017,[],,"""depths to which BA have descended"""
A319,Solo Leisure,Business Class,Gatwick to Faro,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Overall a good flight"""
A320,Couple Leisure,Business Class,Funchal to Gatwick,October 2017,[],,"""provided a chaotic service"""
A380,Business,Business Class,Los Angeles to Doha via London,October 2017,[],,"""food was embarrassing bad"""
A320,Couple Leisure,Business Class,Kalamata to London Heathrow,September 2017,[],,"""service poorly synchronised"""
A380,Solo Leisure,Premium Economy,London to Hong Kong,September 2017,[],,"""really mixed experience"""
A320,Couple Leisure,Business Class,London Heathrow to Kalamata,September 2017,[],,"""Club Europe is poor value"""
Boeing 777,Business,Business Class,Dubai to London,September 2017,[],,"""airline is clearly failing fast"""
A320,Family Leisure,Business Class,Zakinthos to London Heathrow,September 2017,[],"<td class=""review-value rating-yes"">yes</td>","""very good flight again"""
A320,Family Leisure,Business Class,London Heathrow to Zakinthos,August 2017,[],"<td class=""review-value rating-yes"">yes</td>","""kind and chatty with us"""
Boeing 777,Solo Leisure,Business Class,Bangkok to London,September 2017,[],,"""not recommended at all"""
Boeing 747-400,Couple Leisure,Business Class,London to Cape Town,August 2017,[],,"""significant downgrade in BA service"""
A320,Business,Business Class,London Heathrow to Keflavik,August 2017,[],"<td class=""review-value rating-yes"">yes</td>","""not really a business class cabin"""
Boeing 747,Business,Business Class,London to Philadelphia,August 2017,[],,"""bland insulting service"""
A320,Couple Leisure,Business Class,Athens to Newcastle via London,August 2017,[],,"""Another miserable experience"""
A319,Family Leisure,Business Class,London to Paris Orly,August 2017,[],,"""a general trend downwards"""
A380,Family Leisure,Business Class,Vancouver to London Heathrow,July 2017,[],,"""BA's golden years are well and truly over"""
Boeing 747-400,Solo Leisure,Business Class,Oslo to Philadelphia via London,August 2017,[],,"""extremely disappointed with Business Class"""
A320,Family Leisure,Business Class,Athens to London,August 2017,[],,"""some sort of mean spirited joke"""
A320,Business,Business Class,Paris CDG to London,August 2017,[],,"""not worth the money"""
A380,Solo Leisure,Premium Economy,Vancouver to London,July 2017,[],,"""declined to level of a budget airline"""
Boeing 747,Business,Business Class,London Heathrow to Accra,July 2017,[],,"""catch up with the others BA"""
Boeing 777,Solo Leisure,Business Class,San Diego to London,July 2017,[],,"""The worst business class"""
A319,Couple Leisure,Business Class,Pisa to London Gatwick,July 2017,[],"<td class=""review-value rating-yes"">yes</td>","""cabin crew were efficient and friendly enough"""
Boeing 777,Business,Business Class,Dubai to London,July 2017,[],,"""lacking the passion to serve"""
Boeing 747,Business,Business Class,New York JFK to London Heathrow,July 2017,[],,"""other carriers must be laughing"""
Boeing 777,Business,Business Class,Toronto to London Heathrow,June 2017,[],,"""angry and dissatisfied customer"""
A320,Couple Leisure,Business Class,Newcastle to Geneva via London,July 2017,[],"<td class=""review-value rating-yes"">yes</td>","""crew doing an excellent job"""
Boeing 747-400,Business,Business Class,Accra to London Heathrow,July 2017,[],,"""Nothing special or memorable"""
Boeing 747,Business,Business Class,Heathrow to Accra,June 2017,[],,"""Club World is now very tired and worn"""
Boeing 777,Business,Business Class,Beijing to London Heathrow,June 2017,[],,"""now providing a very inferior product"""
A380,Business,Premium Economy,Johannesburg to London,June 2017,[],,"""crews very young, unprofessional"""
A319,Couple Leisure,Business Class,Valencia to London Gatwick,June 2017,[],,"""Boarding was a disaster"""
A319,Couple Leisure,Business Class,London Gatwick to Valencia,June 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Meal service surprisingly good"""
A319,Family Leisure,Business Class,Gatwick to Alicante,June 2017,[],"<td class=""review-value rating-yes"">yes</td>","""the same price as normal"""
Boeing 747-400,Business,Premium Economy,London to Boston,June 2017,[],,"""a low cost experience"""
A380,Couple Leisure,Premium Economy,London Heathrow to Sydney via Singapore,April 2017,[],,"""a much lower standard than other airlines"""
A380,Business,Business Class,London to Vancouver,June 2017,[],,"""one of the worst airlines"""
Boeing 777,Couple Leisure,Business Class,Lima to London Gatwick,May 2017,[],,"""BA is going to the dogs"""
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,May 2017,[],,"""this service is a joke"""
A320,Couple Leisure,Business Class,Luxembourg to London,May 2017,[],,"""Absolute Cheapskates"""
Boeing 777,Couple Leisure,Business Class,Gatwick to Lima,April 2017,[],"<td class=""review-value rating-yes"">yes</td>","""business class is very cramped"""
A320,Business,Business Class,London Heathrow to Santorini,May 2017,[],,"""no more than a budget carrier"""
Boeing 747-400,Business,Business Class,London Heathrow to Miami,May 2017,[],,"""overall truly awful experience"""
Boeing 777,Solo Leisure,Premium Economy,London to Toronto,May 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Overall a good experience"""
A320,Couple Leisure,Business Class,LHR to TXL,May 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Good value if a free upgrade"""
Boeing 777,Couple Leisure,Premium Economy,Rio de Janeiro to London,May 2017,[],,"""not the BA that people once knew"""
A320,Business,Business Class,Berlin Tegel to London,May 2017,[],"<td class=""review-value rating-yes"">yes</td>","""a very cheap offer to upgrade"""
Boeing 747-400,Couple Leisure,Premium Economy,Glasgow to Chicago via Heathrow,April 2017,[],,"""a poor service all round """
A320,Couple Leisure,Business Class,Pisa to Gatwick,April 2017,[],,"""for once I had the meal"""
A319,Couple Leisure,Business Class,Gatwick to Pisa,April 2017,[],,"""don't expect much nowadays from BA"""
Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,April 2017,[],"<td class=""review-value rating-yes"">yes</td>","""we shall be flying with you again"""
A380,Couple Leisure,Premium Economy,Heathrow to San Francisco,April 2017,[],"<td class=""review-value rating-yes"">yes</td>","""BA shined post-flight"""
A319,Couple Leisure,Business Class,Gatwick to Pisa,April 2017,[],,"""a high cost no frills airline"""
A319,Family Leisure,Business Class,Nice to Gatwick,March 2017,[],,"""BA should wake up"""
Boeing 777,Solo Leisure,Business Class,Punta Cana to Gatwick,April 2017,[],,"""if possible never fly BA again"""
A320,Business,Business Class,LHR to IST,April 2017,[],,"""I am ever increasingly disappointed"""
Boeing 777,Family Leisure,Business Class,Sofia to Boston via London,April 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Excellent service and food"""
Boeing 777,Couple Leisure,Business Class,London Gatwick to San Jose Costa Rica,April 2017,[],,"""BA have totally lost the plot"""
Boeing 747,Business,Premium Economy,San Diego to London,March 2017,[],,"""want to be a no-frills airline"""
Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,March 2017,[],,"""BA need to invest in a new fleet"""
A380,Business,Business Class,Miami to London,March 2017,[],,"""feel disrespected and undervalued"""
Boeing 747,Business,Premium Economy,Cape Town to Berlin via London,January 2017,[],,"""turning BA into a low-cost carrier"""
Boeing 777,Family Leisure,Business Class,Gatwick to Grenada,March 2017,[],,"""expect you to pay to reserve seats"""
Boeing 777,Couple Leisure,Business Class,Mauritius to Gatwick,March 2017,[],,"""staff were absolutely appalling"""
A380,Couple Leisure,Premium Economy,London Heathrow to Hong Kong,March 2017,[],,"""has really gone downhill"""
Boeing 777,Couple Leisure,Premium Economy,London to Nairobi,February 2017,[],"<td class=""review-value rating-yes"">yes</td>","""crew to be friendly and attentive"""
Boeing 777,Couple Leisure,Business Class,Toronto to Berlin via London,March 2017,[],,"""worst short haul flight ever"""
A320,Solo Leisure,Business Class,London Heathrow to Innsbruck,March 2017,[],"<td class=""review-value rating-yes"">yes</td>","""just about ok for value for money"""
A320,Business,Business Class,London Heathrow to Dublin,March 2017,[],,"""disgusted, what a rip off"""
A319,Couple Leisure,Business Class,LHR to GVA,March 2017,[],,"""not what one expects from Business Class"""
Boeing 777,Couple Leisure,Business Class,Gatwick to Mauritius,March 2017,[],,"""delayed 1 hour due to no cleaners"""
Boeing 747-400,Couple Leisure,Business Class,San Diego to London,March 2017,[],"<td class=""review-value rating-yes"">yes</td>","""an excellent flight"""
Boeing 777,Business,Business Class,Amsterdam to St Lucia via Gatwick,February 2017,[],,"""tired, worn interior"""
Boeing 777,Business,Business Class,Orlando to London,March 2017,[],,"""not worth paying for business"""
Boeing 747-400,Solo Leisure,Premium Economy,LHR to YVR,March 2017,[],,"""plane in both directions old and shabby"""
Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,March 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Very attentive and enthusiastic"""
Boeing 747-400,Business,Premium Economy,Chicago to London,February 2017,[],"<td class=""review-value rating-yes"">yes</td>","""they continue to impress"""
Boeing 747-400,Business,Business Class,London to Chicago O'Hare,February 2017,[],"<td class=""review-value rating-yes"">yes</td>","""experience was wonderful"""
Boeing 777,Business,Premium Economy,London to Mumbai,February 2017,[],,"""a journey of disappointment"""
Boeing 777,Couple Leisure,Business Class,San Jose to London Gatwick,February 2017,[],,"""dreadful, stressful experience"""
Boeing 777,Couple Leisure,Business Class,London Gatwick to Mauritius ,February 2017,[],,"""Short-sighted management or what?"""
Boeing 777,Business,Business Class,London to Hong Kong,February 2017,[],"<td class=""review-value rating-yes"">yes</td>","""service good, food adequate"""
A320,Business,Business Class,Paris to London,February 2017,[],"<td class=""review-value rating-yes"">yes</td>","""flight OK with snack and drink"""
Boeing 747,Business,Premium Economy,Chicago to London Heathrow,February 2017,[],,"""British Airways has declined badly"""
Boeing 777,Business,Business Class,Doha to London Heathrow,February 2017,[],,"""British Airways was a shock"""
A380,Solo Leisure,Business Class,Hong Kong to London,January 2017,[],"<td class=""review-value rating-yes"">yes</td>","""good arrival lounge at LHR"""
A320,Business,Business Class,LHR to IST,January 2017,[],,"""learn from other airlines"""
A320,Solo Leisure,Business Class,Gatwick to Salzburg,January 2017,[],"<td class=""review-value rating-yes"">yes</td>","""these were pleasant flights"""
A380,Couple Leisure,Business Class,LHR to SFO,January 2017,[],"<td class=""review-value rating-yes"">yes</td>","""attentive, friendly cabin crew"""
Boeing 777,Solo Leisure,Business Class,LHR to HKG,January 2017,[],,"""fallen behind other airlines"""
A320,Solo Leisure,Business Class,London Gatwick to Barcelona,January 2017,[],,"""dreadful business class experience"""
A320,Business,Business Class,MLA to LGW,January 2017,[],,"""they have lost absolutely their unique selling points"""
Boeing 747-400,Business,Premium Economy,LHR to PHX,August 2016,[],,"""worst customer service"""
Boeing 777,Couple Leisure,Business Class,Gatwick to Tampa,January 2017,[],,"""can only be described as appalling"""
Boeing 777,Couple Leisure,Business Class,BKK to CDG via LHR,January 2017,[],,"""not fair for the fare"""
Boeing 747-400,Couple Leisure,Business Class,LHR to CPT,January 2017,[],,"""way below BA's competitors"""
Boeing 777,Couple Leisure,Business Class,LGW to BGI,December 2016,[],,"""plane had not been cleaned well"""
Boeing 777,Solo Leisure,Business Class,IAH to LHR,January 2017,[],"<td class=""review-value rating-yes"">yes</td>","""arrivals lounge at LHR was great"""
Boeing 777,Couple Leisure,Business Class,LGW to CUN,December 2016,[],,"""business class in need of major refurbishment"""
Boeing 777,Solo Leisure,Business Class,LHR to HKG,January 2017,[],,"""profit at any price"""
Boeing 747,Family Leisure,Business Class,MIA to LHR,January 2017,[],,"""have once again been disappointed by British Airways"""
Boeing 777,Couple Leisure,Business Class,LHR to HKG,January 2017,[],,"""disappointing business class"""
A380,Solo Leisure,Premium Economy,LAX to LHR,September 2016,[],"<td class=""review-value rating-yes"">yes</td>","""A380 is state of the art"""
Boeing 747-400,Couple Leisure,Business Class,FRA to CPT via LHR,December 2016,[],"<td class=""review-value rating-yes"">yes</td>","""a dirty seat and cabin"""
Boeing 777,Couple Leisure,Premium Economy,BKK to MAN via LHR,December 2016,[],,"""surly and generally unhelpful"""
Boeing 777,Family Leisure,Premium Economy,LHR to PHL,October 2016,[],,"""did not get what we paid for"""
Boeing 747,Business,Business Class,DFW to BOM via LHR,November 2016,[],,"""not up to par with competitors"""
A380,Business,Business Class,LHR to HKG,December 2016,[],"<td class=""review-value rating-yes"">yes</td>","""had a good flight on the A380"""
Boeing 777,Solo Leisure,Premium Economy,LHR to SEA,December 2016,[],"<td class=""review-value rating-yes"">yes</td>","""service .. we don't really care"""
Boeing 777,Solo Leisure,Business Class,SEA to LHR,November 2016,[],"<td class=""review-value rating-yes"">yes</td>","""meal left a little to be desired"""
A320,Business,Business Class,LHR to LIS,December 2016,[],,"""nothing good to say about this trip"""
Boeing 777,Couple Leisure,Business Class,SIN to  SYD,December 2016,[],,"""hit a new low for me"""
A380,Business,Premium Economy,SIN to LHR,November 2016,[],"<td class=""review-value rating-yes"">yes</td>","""unobtrusive service provided"""
A320,Solo Leisure,Business Class,RAK to LGW,November 2016,[],"<td class=""review-value rating-yes"">yes</td>","""service varies each time"""
Boeing 747-400,Business,Business Class,DUS to BOS via LHR,November 2016,[],,"""the value for money is no longer given"""
A380,Couple Leisure,Premium Economy,MIA to LHR,November 2016,[],"<td class=""review-value rating-yes"">yes</td>","""service was the usual British Airways"""
A320,Solo Leisure,Business Class,LGW to ALC,November 2016,[],"<td class=""review-value rating-yes"">yes</td>","""bit amateur for business class """
Boeing 777,Couple Leisure,Premium Economy,LGW to BGI,November 2016,[],,"""plane very dated and dirty"""
Boeing 777,Couple Leisure,Premium Economy,MRU to LGW,November 2016,[],,"""Goodbye British Airways"""
A319,Business,Business Class,LHR to GVA,November 2016,[],,"""not worth a premium"""
Boeing 777,Couple Leisure,Premium Economy,UVF  to LGW,November 2016,[],,"""we had been downgraded"""
A320,Business,Business Class,LHR to OTP,October 2016,[],,"""to fly to disappoint"""
A380,Couple Leisure,Business Class,HKG to LHR,October 2016,[],,"""no longer my airline of choice"""
Boeing 747-400,Solo Leisure,Business Class,LHR to ORD,October 2016,[],"<td class=""review-value rating-yes"">yes</td>","""BA crews are tremendous"""
A380,Couple Leisure,Premium Economy,LHR to MIA,October 2016,[],"<td class=""review-value rating-yes"">yes</td>","""pleasantly surprised by the experience"""
A319,Business,Business Class,LHR to BRU,October 2016,[],,"""don't make same mistake as me"""
A320,Business,Business Class,MLA to LGW,October 2016,[],"<td class=""review-value rating-yes"">yes</td>","""excellent and friendly cabin crew"""
A319,Family Leisure,Business Class,LGW to Pisa,October 2016,[],,"""another less than satisfactory experience"""
A320,Couple Leisure,Business Class,LGW to MLA,October 2016,[],,"""service become far more erratic"""
Boeing 777,Couple Leisure,Business Class,LGW to MRU,October 2016,[],,"""how disappointed we were"""
Boeing 777,Couple Leisure,Premium Economy,LHR to ATL,October 2016,[],,"""indifferent attitudes of cabin service"""
A380,Couple Leisure,Business Class,JNB to LHR,September 2016,[],,"""staff were just about acceptable"""
Boeing 777,Solo Leisure,Business Class,LGW to JFK,September 2016,[],"<td class=""review-value rating-yes"">yes</td>","""excellent cabin crew"""
A320,Couple Leisure,Business Class,LHR to KRK,September 2016,[],,"""BA on this route are a joke"""
A320,Couple Leisure,Business Class,DBV to LGW,September 2016,[],,"""look at alternatives next time"""
A320,Couple Leisure,Business Class,LGW to DBV,September 2016,[],"<td class=""review-value rating-yes"">yes</td>","""a bit disappointing really"""
A319,Solo Leisure,Business Class,AMS to LHR,September 2016,[],"<td class=""review-value rating-yes"">yes</td>","""seat pitch on the small side"""
A320,Business,Business Class,LHR to TXL,August 2016,[],,"""in all a waste of money"""
A320,Family Leisure,Business Class,LGW to MLA,August 2016,[],,"""Club Europe seats are a joke"""
Boeing 747-400,Family Leisure,Business Class,PHX to LHR,August 2016,[],,"""seats are dirty and ripped"""
Boeing 747-400,Couple Leisure,Business Class,LHR to BOS,July 2016,[],"<td class=""review-value rating-yes"">yes</td>","""every time I complain about the breakfast"""
A380,Couple Leisure,Business Class,LHR to IAD ,August 2016,[],,"""A380 is unconscionably crammed"""
A319,Business,Business Class,FRA to LHR,August 2016,[],,"""why do they fly such wrecks?"""
Boeing 747,Solo Leisure,Premium Economy,MEX to AMS via LHR,August 2016,[],,"""experience with BA has been awful"""
Boeing 777,Couple Leisure,Business Class,LHR to NAS,June 2016,[],"<td class=""review-value rating-yes"">yes</td>","""great cabin crew on both sectors"""
A380,Family Leisure,Business Class,MIA to LHR,July 2016,[],"<td class=""review-value rating-yes"">yes</td>","""provided reasonable cabin service"""
Boeing 777,Business,Premium Economy,DOH to CDG via BAH / LHR,July 2016,[],"<td class=""review-value rating-yes"">yes</td>","""not direct but it was well worth it."""
A380,Family Leisure,Business Class,LHR to MIA,July 2016,[],"<td class=""review-value rating-yes"">yes</td>","""overall, a reasonable flight"""
Boeing 747-400,Solo Leisure,Business Class,JFK to LHR,July 2016,[],"<td class=""review-value rating-yes"">yes</td>","""no one climbing over you"""
A320,Business,Business Class,LHR to GVA,July 2016,[],,"""no longer worth any extra cost"""
A320,Solo Leisure,Business Class,GVA to LHR,July 2016,[],,"""not worth it on every level"""
A380,Business,Business Class,JNB to LHR,March 2016,[],,"""business configuration is far from personal"""
A320,Business,Business Class,ZRH to LHR,June 2016,[],,"""all in all not bad"""
A320,Couple Leisure,Business Class,LGW to SVQ,June 2016,[],"<td class=""review-value rating-yes"">yes</td>","""reasonable inflight service"""
A380,Couple Leisure,Business Class,LHR to YVR,June 2016,[],"<td class=""review-value rating-yes"">yes</td>","""crew were superb and professional"""
A320,Business,Business Class,LHR to ATH,June 2016,[],,"""book with anyone but BA"""
A320,Couple Leisure,Business Class,LHR to DUB,April 2016,[],"<td class=""review-value rating-yes"">yes</td>","""good selection of food and drinks"""
Boeing 777,Solo Leisure,Business Class,BGI to LGW,May 2016,[],"<td class=""review-value rating-yes"">yes</td>","""cabin crew were excellent"""
A380,Solo Leisure,Premium Economy,LHR to SIN,June 2016,[],"<td class=""review-value rating-yes"">yes</td>","""attention to detail is lacking"""
Boeing 777,Couple Leisure,Business Class,SIN to SYD,May 2016,[],,"""poorest seating arrangement"""
A320,Couple Leisure,Business Class,LGW to PFO,June 2016,[],"<td class=""review-value rating-yes"">yes</td>","""crew friendly and efficient"""
Boeing 777,Couple Leisure,Business Class,UVF to LGW,June 2016,[],"<td class=""review-value rating-yes"">yes</td>","""excellent cabin crew"""
Boeing 777,Couple Leisure,Premium Economy,LGW to UVF,May 2016,[],,"""further delay was likely"""
A380,Solo Leisure,Premium Economy,LHR to SFO,May 2016,[],"<td class=""review-value rating-yes"">yes</td>","""seat was very comfortable"""
A320,Family Leisure,Business Class,LHR to CDG,May 2016,[],"<td class=""review-value rating-yes"">yes</td>","""one of my favourite airlines"""
A380,Business,Business Class,SFO to LHR,May 2016,[],,"""exception is British Airways"""
